2019-06-24 15:38:08 status half-installed debconf:all 1.5.58ubuntu1
2019-06-24 15:38:09 status half-installed debconf:all 1.5.58ubuntu1
2019-06-24 15:38:09 status unpacked debconf:all 1.5.58ubuntu2
2019-06-24 15:38:09 status unpacked debconf:all 1.5.58ubuntu2
2019-06-24 15:38:09 startup packages configure
2019-06-24 15:38:09 configure debconf:all 1.5.58ubuntu2 <none>
2019-06-24 15:38:09 status unpacked debconf:all 1.5.58ubuntu2
2019-06-24 15:38:09 status unpacked debconf:all 1.5.58ubuntu2
2019-06-24 15:38:09 status unpacked debconf:all 1.5.58ubuntu2
2019-06-24 15:38:09 status half-configured debconf:all 1.5.58ubuntu2
2019-06-24 15:38:10 status installed debconf:all 1.5.58ubuntu2
2019-06-24 15:38:10 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:38:10 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:38:12 status installed man-db:amd64 2.7.5-1
2019-06-24 15:38:12 startup archives unpack
2019-06-24 15:38:12 upgrade locales:all 2.23-0ubuntu10 2.23-0ubuntu11
2019-06-24 15:38:12 status half-configured locales:all 2.23-0ubuntu10
2019-06-24 15:38:13 status unpacked locales:all 2.23-0ubuntu10
2019-06-24 15:38:13 status half-installed locales:all 2.23-0ubuntu10
2019-06-24 15:38:13 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:38:16 status half-installed locales:all 2.23-0ubuntu10
2019-06-24 15:38:16 status unpacked locales:all 2.23-0ubuntu11
2019-06-24 15:38:17 status unpacked locales:all 2.23-0ubuntu11
2019-06-24 15:38:17 upgrade libc-bin:amd64 2.23-0ubuntu10 2.23-0ubuntu11
2019-06-24 15:38:17 status half-configured libc-bin:amd64 2.23-0ubuntu10
2019-06-24 15:38:17 status unpacked libc-bin:amd64 2.23-0ubuntu10
2019-06-24 15:38:17 status half-installed libc-bin:amd64 2.23-0ubuntu10
2019-06-24 15:38:17 status half-installed libc-bin:amd64 2.23-0ubuntu10
2019-06-24 15:38:18 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:18 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:18 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:38:18 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:38:19 status installed man-db:amd64 2.7.5-1
2019-06-24 15:38:19 startup packages configure
2019-06-24 15:38:19 configure libc-bin:amd64 2.23-0ubuntu11 <none>
2019-06-24 15:38:19 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:19 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:19 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:19 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:19 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:19 status unpacked libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:19 status half-configured libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:19 status installed libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:20 startup archives unpack
2019-06-24 15:38:20 upgrade dbus:amd64 1.10.6-1ubuntu3.3 1.10.6-1ubuntu3.4
2019-06-24 15:38:20 status half-configured dbus:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:20 status unpacked dbus:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:20 status half-installed dbus:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:20 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:38:20 status triggers-pending systemd:amd64 229-4ubuntu21.10
2019-06-24 15:38:20 status triggers-pending ureadahead:amd64 0.100.0-19
2019-06-24 15:38:20 status triggers-pending ureadahead:amd64 0.100.0-19
2019-06-24 15:38:20 status half-installed dbus:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:21 status unpacked dbus:amd64 1.10.6-1ubuntu3.4
2019-06-24 15:38:21 status unpacked dbus:amd64 1.10.6-1ubuntu3.4
2019-06-24 15:38:21 upgrade libdbus-1-3:amd64 1.10.6-1ubuntu3.3 1.10.6-1ubuntu3.4
2019-06-24 15:38:21 status triggers-pending libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:21 status half-configured libdbus-1-3:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:21 status unpacked libdbus-1-3:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:21 status half-installed libdbus-1-3:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:21 status half-installed libdbus-1-3:amd64 1.10.6-1ubuntu3.3
2019-06-24 15:38:21 status unpacked libdbus-1-3:amd64 1.10.6-1ubuntu3.4
2019-06-24 15:38:21 status unpacked libdbus-1-3:amd64 1.10.6-1ubuntu3.4
2019-06-24 15:38:21 upgrade libapparmor1:amd64 2.10.95-0ubuntu2.10 2.10.95-0ubuntu2.11
2019-06-24 15:38:21 status half-configured libapparmor1:amd64 2.10.95-0ubuntu2.10
2019-06-24 15:38:21 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2.10
2019-06-24 15:38:21 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2.10
2019-06-24 15:38:21 status half-installed libapparmor1:amd64 2.10.95-0ubuntu2.10
2019-06-24 15:38:21 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2.11
2019-06-24 15:38:21 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2.11
2019-06-24 15:38:21 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:38:21 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:38:22 status installed man-db:amd64 2.7.5-1
2019-06-24 15:38:22 trigproc ureadahead:amd64 0.100.0-19 <none>
2019-06-24 15:38:22 status half-configured ureadahead:amd64 0.100.0-19
2019-06-24 15:38:23 status installed ureadahead:amd64 0.100.0-19
2019-06-24 15:38:23 trigproc libc-bin:amd64 2.23-0ubuntu11 <none>
2019-06-24 15:38:23 status half-configured libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:23 status installed libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:23 startup packages configure
2019-06-24 15:38:23 configure libapparmor1:amd64 2.10.95-0ubuntu2.11 <none>
2019-06-24 15:38:23 status triggers-pending libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:23 status unpacked libapparmor1:amd64 2.10.95-0ubuntu2.11
2019-06-24 15:38:23 status half-configured libapparmor1:amd64 2.10.95-0ubuntu2.11
2019-06-24 15:38:23 status installed libapparmor1:amd64 2.10.95-0ubuntu2.11
2019-06-24 15:38:23 trigproc systemd:amd64 229-4ubuntu21.10 <none>
2019-06-24 15:38:23 status half-configured systemd:amd64 229-4ubuntu21.10
2019-06-24 15:38:23 status installed systemd:amd64 229-4ubuntu21.10
2019-06-24 15:38:23 trigproc libc-bin:amd64 2.23-0ubuntu11 <none>
2019-06-24 15:38:23 status half-configured libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:23 status installed libc-bin:amd64 2.23-0ubuntu11
2019-06-24 15:38:23 startup archives unpack
2019-06-24 15:38:24 upgrade passwd:amd64 1:4.2-3.1ubuntu5.3 1:4.2-3.1ubuntu5.4
2019-06-24 15:38:24 status half-configured passwd:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:38:24 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:38:24 status half-installed passwd:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:38:24 status triggers-pending man-db:amd64 2.7.5-1
2019-06-24 15:38:24 status triggers-pending ureadahead:amd64 0.100.0-19
2019-06-24 15:38:33 status half-installed passwd:amd64 1:4.2-3.1ubuntu5.3
2019-06-24 15:38:34 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:38:35 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:38:35 trigproc man-db:amd64 2.7.5-1 <none>
2019-06-24 15:38:35 status half-configured man-db:amd64 2.7.5-1
2019-06-24 15:38:38 status installed man-db:amd64 2.7.5-1
2019-06-24 15:38:38 trigproc ureadahead:amd64 0.100.0-19 <none>
2019-06-24 15:38:38 status half-configured ureadahead:amd64 0.100.0-19
2019-06-24 15:38:39 status installed ureadahead:amd64 0.100.0-19
2019-06-24 15:38:39 startup packages configure
2019-06-24 15:38:39 configure passwd:amd64 1:4.2-3.1ubuntu5.4 <none>
2019-06-24 15:38:39 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:38:39 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:38:39 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:38:39 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.4
2019-06-24 15:38:39 status unpacked passwd:amd64 1:4.2-3.1ubuntu5.4
